time,CPU,memory,cpu_temp,output
2023-07-09 18:43:38.843654,16.1,85.3,29.4,0
2023-07-09 18:43:40.875718,22.7,85.1,29.4,0
2023-07-09 18:43:42.913616,13.8,85.2,29.4,0
2023-07-09 18:43:44.956641,7.4,85.2,29.4,0
2023-07-09 18:43:46.977430,6.2,85.2,29.4,0
2023-07-09 18:43:48.999723,11.3,85.1,29.4,0
2023-07-09 18:43:51.021019,1.5,85.2,29.4,0
2023-07-09 18:43:53.049537,10.7,85.1,29.4,0
2023-07-09 18:43:55.086455,12.1,85.2,29.4,0
2023-07-09 18:43:57.109756,13.4,84.8,29.4,0
2023-07-09 18:43:59.148914,11.1,85.1,29.4,0
2023-07-09 18:44:01.181325,25.4,85.0,29.4,0
2023-07-09 18:44:03.207926,31.2,85.8,29.4,0
2023-07-09 18:44:05.245221,28.1,86.3,29.4,0
2023-07-09 18:44:07.327684,100.0,88.1,29.4,0
2023-07-09 18:44:09.484912,97.6,88.5,29.4,0
2023-07-09 18:44:11.765813,100.0,89.1,29.4,0
2023-07-09 18:44:14.059677,100.0,89.5,29.4,0
2023-07-09 18:44:16.129142,100.0,89.4,29.4,0
2023-07-09 18:44:18.322276,98.5,84.8,29.4,0
2023-07-09 18:44:20.547324,90.8,85.2,29.4,0
2023-07-09 18:44:22.998019,96.8,86.4,29.4,0
2023-07-09 18:44:25.313163,82.3,85.2,29.4,0
2023-07-09 18:44:27.583355,56.2,85.4,29.4,0
2023-07-09 18:44:29.613678,60.4,85.4,29.4,0
2023-07-09 18:44:31.658238,80.2,84.9,29.4,0
2023-07-09 18:44:33.697867,67.6,85.3,29.4,0
2023-07-09 18:44:35.749061,86.8,85.7,29.4,0
2023-07-09 18:44:37.800573,77.8,86.1,29.4,0
2023-07-09 18:44:39.843608,71.9,85.2,29.4,0
2023-07-09 18:44:41.882157,50.4,85.3,29.4,0
2023-07-09 18:44:43.918251,39.3,85.3,29.4,0
2023-07-09 18:44:45.946858,37.3,85.3,29.4,0
2023-07-09 18:44:48.018075,61.6,82.5,29.4,0
2023-07-09 18:44:50.057620,19.4,82.0,29.4,0
2023-07-09 18:44:52.084544,10.1,82.1,29.4,0
2023-07-09 18:44:54.114150,31.0,82.3,29.4,0
2023-07-09 18:44:56.144719,25.8,82.3,29.4,0
2023-07-09 18:44:58.173622,48.8,82.7,29.4,0
2023-07-09 18:45:00.202571,26.1,82.2,29.3,0
2023-07-09 18:45:02.234597,3.1,82.2,29.3,0
2023-07-09 18:45:04.271605,4.3,82.1,29.4,0
2023-07-09 18:45:06.316027,3.8,81.7,29.4,0
2023-07-09 18:45:08.368631,17.3,81.6,29.4,0
2023-07-09 18:45:10.427602,1.9,81.4,29.4,0
2023-07-09 18:45:12.473090,1.9,81.7,29.4,0
2023-07-09 18:45:14.531529,3.5,81.0,29.4,0
2023-07-09 18:45:16.575632,1.6,81.0,29.4,0
2023-07-09 18:45:18.625489,1.6,81.0,29.4,0
2023-07-09 18:45:20.675496,4.3,81.0,29.4,0
2023-07-09 18:45:22.702924,2.3,81.0,29.4,0
2023-07-09 18:45:24.752674,6.6,81.0,29.4,0
2023-07-09 18:45:26.807610,30.0,81.9,29.4,0
2023-07-09 18:45:28.867335,18.7,83.3,29.4,0
2023-07-09 18:45:30.902106,15.6,83.1,29.4,0
2023-07-09 18:45:32.944288,61.3,82.5,29.4,0
2023-07-09 18:45:35.008504,45.8,91.2,29.4,0
2023-07-09 18:45:37.049695,10.7,86.6,29.3,0
2023-07-09 18:45:39.097299,10.0,86.5,29.3,0
2023-07-09 18:45:41.156600,19.6,85.3,29.4,0
2023-07-09 18:45:43.215600,3.5,84.5,29.4,0
2023-07-09 18:45:45.253614,12.6,82.6,29.4,0
2023-07-09 18:45:47.337637,5.3,82.6,29.4,0
2023-07-09 18:45:49.384655,8.5,80.8,29.4,0
2023-07-09 18:45:51.441621,11.2,80.8,29.4,0
2023-07-09 18:45:53.509615,14.1,80.8,29.4,0
2023-07-09 18:45:55.563604,6.5,80.8,29.4,0
2023-07-09 18:45:57.645608,10.2,80.7,29.4,0
2023-07-09 18:45:59.703924,5.1,80.6,29.4,0
2023-07-09 18:46:01.754842,14.2,83.9,29.4,0
2023-07-09 18:46:03.807520,11.1,83.9,29.4,0
